"Ano","Regiao","Jovens_n","Jovens_Percentual","Adultos_n","Adultos_Percentual","Idosos_n","Idosos_Percentual"
"2016","Norte",1537,15.2,8200,80.9,402,4
"2016","Nordeste",1948,14.2,11134,81.2,631,4.6
"2016","Centro-Oeste",1153,13.8,6837,81.6,389,4.6
"2016","Sudeste",1783,14,10249,80.2,746,5.8
"2016","Sul",694,14.2,3923,80,287,5.9
"2019","Norte",1439,14.8,7730,79.8,523,5.4
"2019","Nordeste",1689,13.1,10527,81.6,683,5.3
"2019","Centro-Oeste",1133,13.9,6568,80.7,441,5.4
"2019","Sudeste",1522,12.4,9988,81.1,808,6.6
"2019","Sul",613,13,3804,80.4,316,6.7
"2022","Norte",1267,14.3,7086,80,501,5.7
"2022","Nordeste",1538,14.1,8695,79.8,660,6.1
"2022","Centro-Oeste",982,13.3,5974,81,422,5.7
"2022","Sudeste",1359,12.7,8576,80.1,771,7.2
"2022","Sul",561,13.2,3411,80,293,6.9
"2025","Norte",1268,14.2,7146,79.9,530,5.9
"2025","Nordeste",1464,12.5,9468,80.6,812,6.9
"2025","Centro-Oeste",1040,14,5916,79.8,454,6.1
"2025","Sudeste",1405,12,9396,80.1,932,7.9
"2025","Sul",614,13.2,3696,79.7,330,7.1
