"Ano","Regiao","Homem_n","Homem_Percentual","Mulher_n","Mulher_Percentual"
"2016","Norte",5659,55.8,4480,44.2
"2016","Nordeste",7291,53.2,6422,46.8
"2016","Centro-Oeste",4409,52.6,3970,47.4
"2016","Sudeste",6838,53.5,5940,46.5
"2016","Sul",2539,51.8,2365,48.2
"2019","Norte",5376,55.5,4316,44.5
"2019","Nordeste",6741,52.3,6158,47.7
"2019","Centro-Oeste",4251,52.2,3891,47.8
"2019","Sudeste",6441,52.3,5877,47.7
"2019","Sul",2484,52.5,2249,47.5
"2022","Norte",4829,54.5,4025,45.5
"2022","Nordeste",5759,52.9,5134,47.1
"2022","Centro-Oeste",3823,51.8,3555,48.2
"2022","Sudeste",5582,52.1,5124,47.9
"2022","Sul",2141,50.2,2124,49.8
"2025","Norte",4831,54,4113,46
"2025","Nordeste",6009,51.2,5735,48.8
"2025","Centro-Oeste",3864,52.1,3546,47.9
"2025","Sudeste",6045,51.5,5688,48.5
"2025","Sul",2365,51,2275,49
