"Ano","Variavel","Coeficiente","DP","Valor_t","Valor_p","IC95_inf","IC95_sup","exp_c_menos_1_pct"
2016,"(Intercept)",1.7376,0.0527,32.9767,0,1.6343,1.8409,468.36
2016,"anos_estudo_num1",0.0437,0.0264,1.6587,0.0972,-0.0079,0.0954,4.47
2016,"anos_estudo_num2",-0.0409,0.0409,-0.9992,0.3177,-0.121,0.0393,-4
2016,"anos_estudo_num3",-0.0279,0.0352,-0.7922,0.4282,-0.097,0.0412,-2.75
2016,"anos_estudo_num4",0.0037,0.0312,0.1177,0.9063,-0.0575,0.0649,0.37
2016,"anos_estudo_num5",0.0257,0.0235,1.0955,0.2733,-0.0203,0.0718,2.61
2016,"anos_estudo_num6",0.0565,0.0243,2.3195,0.0204,0.0088,0.1042,5.81
2016,"anos_estudo_num7",0.118,0.0266,4.4331,0,0.0658,0.1702,12.53
2016,"anos_estudo_num8",0.1071,0.0262,4.0833,0,0.0557,0.1585,11.3
2016,"anos_estudo_num9",0.1738,0.0215,8.0735,0,0.1316,0.216,18.98
2016,"anos_estudo_num10",0.1856,0.0283,6.5486,0,0.1301,0.2412,20.39
2016,"anos_estudo_num11",0.2088,0.0273,7.6333,0,0.1552,0.2624,23.22
2016,"anos_estudo_num12",0.34,0.0203,16.7311,0,0.3002,0.3799,40.5
2016,"anos_estudo_num13",0.5138,0.0253,20.3182,0,0.4642,0.5633,67.16
2016,"anos_estudo_num14",0.6367,0.0264,24.1339,0,0.585,0.6884,89.03
2016,"anos_estudo_num15",0.6438,0.0261,24.6334,0,0.5926,0.695,90.37
2016,"anos_estudo_num16",1.0452,0.0214,48.8441,0,1.0033,1.0871,184.4
2016,"V2009",0.035,0.0022,15.6882,0,0.0307,0.0394,3.57
2016,"idade_quad",-3e-04,0,-10.9943,0,-3e-04,-2e-04,-0.03
2016,"V2007Mulher",-0.2223,0.0059,-37.7926,0,-0.2339,-0.2108,-19.94
2016,"V2010Preto/Pardo",-0.1249,0.0062,-20.0343,0,-0.1372,-0.1127,-11.75
